X = ;10,000; U = ;0,000;
X = ;9,900; U = ;-1,000;
X = ;9,701; U = ;-1,990;
X = ;9,405; U = ;-2,960;
X = ;9,015; U = ;-3,900;
X = ;8,535; U = ;-4,802;
X = ;7,969; U = ;-5,655;
X = ;7,324; U = ;-6,452;
X = ;6,606; U = ;-7,184;
X = ;5,821; U = ;-7,844;
X = ;4,979; U = ;-8,426;
X = ;4,087; U = ;-8,923;
X = ;3,154; U = ;-9,330;
X = ;2,189; U = ;-9,642;
X = ;1,204; U = ;-9,852;
X = ;0,213; U = ;-9,915;
X = ;0,257; U = ;0,443;
X = ;0,887; U = ;6,302;
X = ;1,523; U = ;6,356;
X = ;2,146; U = ;6,232;
X = ;2,749; U = ;6,028;
X = ;3,325; U = ;5,758;
X = ;3,867; U = ;5,428;
X = ;4,372; U = ;5,043;
X = ;4,832; U = ;4,607;
X = ;5,245; U = ;4,125;
X = ;5,605; U = ;3,601;
X = ;5,909; U = ;3,041;
X = ;6,154; U = ;2,450;
X = ;6,338; U = ;1,835;
X = ;6,458; U = ;1,202;
X = ;6,513; U = ;0,557;
X = ;6,504; U = ;-0,094;
X = ;6,430; U = ;-0,744;
X = ;6,291; U = ;-1,387;
X = ;6,089; U = ;-2,016;
X = ;5,827; U = ;-2,624;
X = ;5,506; U = ;-3,206;
X = ;5,131; U = ;-3,756;
X = ;4,704; U = ;-4,269;
X = ;4,230; U = ;-4,738;
X = ;3,714; U = ;-5,160;
X = ;3,161; U = ;-5,529;
X = ;2,577; U = ;-5,842;
X = ;1,967; U = ;-6,094;
X = ;1,340; U = ;-6,278;
X = ;0,703; U = ;-6,370;
X = ;0,087; U = ;-6,152;
X = ;14,403; U = ;143,151;
X = ;28,574; U = ;141,710;
X = ;42,459; U = ;138,853;
X = ;55,920; U = ;134,607;
